id,customer_id,product_id,quantity,order_date,revenue
1,19,6,2,2026-02-05,17.98
2,3,4,3,2026-02-10,149.97
3,15,2,4,2026-05-23,119.96
4,30,6,2,2026-07-09,17.98
5,23,4,3,2026-02-06,149.97
6,39,3,2,2026-03-25,159.98
7,30,7,3,2026-04-23,179.97
8,44,6,1,2026-04-28,8.99
9,3,6,4,2026-05-18,35.96
10,5,4,3,2026-04-19,149.97
11,42,8,4,2026-08-23,759.96
12,10,5,2,2026-05-07,69.98
13,48,5,4,2026-07-24,139.96
14,24,4,2,2026-09-18,99.98
15,32,2,1,2026-02-26,29.99
16,10,3,4,2026-02-02,319.96
17,25,7,4,2026-05-09,239.96
18,36,1,1,2026-05-17,39.99
19,50,6,1,2026-05-31,8.99
20,28,3,4,2026-01-02,319.96
21,47,5,2,2026-09-17,69.98
22,7,5,2,2026-03-20,69.98
23,24,3,1,2026-06-15,79.99
24,32,1,1,2026-07-05,39.99
25,20,4,1,2026-05-04,49.99
26,37,2,1,2026-09-06,29.99
27,5,3,2,2026-09-01,159.98
28,36,3,3,2026-08-05,239.97
29,14,4,3,2026-07-24,149.97
30,43,6,4,2026-08-20,35.96
31,8,4,2,2026-02-02,99.98
32,22,1,2,2026-04-23,79.98
33,1,2,1,2026-04-28,29.99
34,5,1,3,2026-02-06,119.97
35,33,4,3,2026-09-06,149.97
36,14,3,4,2026-05-05,319.96
37,31,7,2,2026-02-18,119.98
38,7,7,3,2026-08-05,179.97
39,27,8,1,2026-02-20,189.99
40,4,7,3,2026-02-25,179.97
41,16,4,2,2026-08-18,99.98
42,9,7,2,2026-05-23,119.98
43,30,4,1,2026-08-15,49.99
44,36,2,1,2026-01-08,29.99
45,6,4,2,2026-07-28,99.98
46,32,8,2,2026-07-25,379.98
47,4,3,4,2026-01-02,319.96
48,25,5,4,2026-05-27,139.96
49,28,8,2,2026-04-08,379.98
50,19,4,1,2026-02-01,49.99
51,48,6,1,2026-01-26,8.99
52,38,8,2,2026-01-30,379.98
53,33,2,2,2026-02-05,59.98
54,39,2,2,2026-07-26,59.98
55,8,4,1,2026-02-11,49.99
56,27,6,3,2026-04-15,26.97
57,43,6,2,2026-05-16,17.98
58,26,3,3,2026-08-23,239.97
59,21,2,1,2026-08-23,29.99
60,40,2,1,2026-04-20,29.99
61,33,5,2,2026-06-28,69.98
62,5,4,3,2026-05-26,149.97
63,11,8,3,2026-01-05,569.97
64,43,5,1,2026-03-10,34.99
65,17,2,1,2026-03-21,29.99
66,18,5,2,2026-06-25,69.98
67,14,5,4,2026-05-09,139.96
68,4,2,4,2026-05-22,119.96
69,3,1,3,2026-03-08,119.97
70,41,5,2,2026-08-15,69.98
71,36,7,1,2026-02-27,59.99
72,5,3,1,2026-07-09,79.99
73,38,3,4,2026-03-07,319.96
74,3,5,3,2026-01-21,104.97
75,23,4,2,2026-02-22,99.98
76,23,7,2,2026-05-02,119.98
77,11,3,4,2026-01-13,319.96
78,12,6,4,2026-05-08,35.96
79,18,3,1,2026-07-15,79.99
80,3,8,2,2026-04-13,379.98
81,30,6,3,2026-04-27,26.97
82,15,1,2,2026-07-24,79.98
83,22,5,1,2026-05-23,34.99
84,23,7,3,2026-01-15,179.97
85,8,5,2,2026-05-16,69.98
86,3,2,4,2026-06-26,119.96
87,47,6,4,2026-09-19,35.96
88,8,7,2,2026-05-11,119.98
89,3,7,1,2026-04-11,59.99
90,24,7,1,2026-06-19,59.99
91,40,6,1,2026-06-03,8.99
92,33,5,4,2026-06-17,139.96
93,26,5,2,2026-04-09,69.98
94,27,7,2,2026-06-04,119.98
95,26,1,3,2026-05-27,119.97
96,14,7,3,2026-08-27,179.97
97,29,8,2,2026-09-19,379.98
98,31,3,1,2026-05-26,79.99
99,33,6,1,2026-05-01,8.99
100,44,5,2,2026-04-12,69.98
101,10,1,1,2026-05-06,39.99
102,31,2,4,2026-08-01,119.96
103,41,4,4,2026-09-11,199.96
104,26,4,2,2026-01-03,99.98
105,49,2,4,2026-04-23,119.96
106,12,8,1,2026-05-08,189.99
107,8,8,2,2026-08-26,379.98
108,43,6,4,2026-09-16,35.96
109,28,8,2,2026-09-01,379.98
110,29,5,2,2026-05-22,69.98
111,50,8,2,2026-05-21,379.98
112,29,2,3,2026-05-01,89.97
113,18,6,3,2026-02-11,26.97
114,9,3,2,2026-07-16,159.98
115,45,3,2,2026-02-02,159.98
116,27,7,3,2026-08-27,179.97
117,27,1,2,2026-08-04,79.98
118,25,1,4,2026-09-02,159.96
119,1,6,3,2026-07-19,26.97
120,27,4,4,2026-04-23,199.96
121,18,7,4,2026-01-15,239.96
122,25,6,4,2026-03-26,35.96
123,30,3,1,2026-07-21,79.99
124,38,1,1,2026-08-08,39.99
125,9,8,2,2026-01-26,379.98
126,17,7,3,2026-04-19,179.97
127,30,6,3,2026-07-14,26.97
128,18,7,3,2026-02-11,179.97
129,31,1,1,2026-06-29,39.99
130,15,2,1,2026-01-16,29.99
131,16,4,1,2026-03-20,49.99
132,16,3,4,2026-02-28,319.96
133,37,4,4,2026-05-12,199.96
134,50,6,2,2026-02-28,17.98
135,50,3,3,2026-02-25,239.97
136,38,1,3,2026-07-12,119.97
137,26,4,1,2026-05-05,49.99
138,7,5,1,2026-01-22,34.99
139,23,7,3,2026-02-05,179.97
140,33,6,1,2026-08-04,8.99
141,32,2,4,2026-07-05,119.96
142,41,8,2,2026-08-11,379.98
143,12,5,4,2026-08-27,139.96
144,28,5,3,2026-05-06,104.97
145,6,5,4,2026-05-05,139.96
146,49,8,4,2026-06-22,759.96
147,2,8,3,2026-04-04,569.97
148,32,4,3,2026-05-13,149.97
149,22,5,3,2026-01-06,104.97
150,34,4,1,2026-05-04,49.99
151,47,7,4,2026-05-04,239.96
152,45,8,4,2026-08-18,759.96
153,2,2,3,2026-04-24,89.97
154,26,4,3,2026-07-08,149.97
155,31,6,4,2026-06-19,35.96
156,23,8,3,2026-06-06,569.97
157,17,4,1,2026-04-09,49.99
158,21,2,2,2026-04-09,59.98
159,14,8,3,2026-05-25,569.97
160,7,4,3,2026-04-27,149.97
161,24,3,3,2026-01-08,239.97
162,46,3,3,2026-01-24,239.97
163,4,5,2,2026-09-09,69.98
164,7,1,3,2026-08-29,119.97
165,31,8,3,2026-04-05,569.97
166,4,5,4,2026-02-28,139.96
167,5,7,4,2026-02-07,239.96
168,37,1,2,2026-03-18,79.98
169,37,5,1,2026-05-08,34.99
170,8,7,2,2026-07-14,119.98
171,29,8,3,2026-08-08,569.97
172,20,1,1,2026-04-17,39.99
173,41,4,3,2026-02-11,149.97
174,11,4,2,2026-02-08,99.98
175,11,1,4,2026-08-19,159.96
176,45,8,3,2026-01-17,569.97
177,15,5,3,2026-08-21,104.97
178,5,4,3,2026-04-12,149.97
179,28,2,2,2026-03-18,59.98
180,18,3,1,2026-01-31,79.99
181,11,5,3,2026-08-13,104.97
182,8,8,3,2026-07-26,569.97
183,18,8,4,2026-02-11,759.96
184,39,1,4,2026-06-15,159.96
185,39,5,1,2026-02-16,34.99
186,15,1,3,2026-01-21,119.97
187,49,3,4,2026-08-15,319.96
188,18,3,4,2026-09-09,319.96
189,6,8,3,2026-07-29,569.97
190,22,6,1,2026-03-24,8.99
191,22,7,4,2026-05-28,239.96
192,43,7,1,2026-08-21,59.99
193,6,6,3,2026-06-15,26.97
194,8,7,1,2026-08-25,59.99
195,27,1,2,2026-07-05,79.98
196,40,8,4,2026-01-27,759.96
197,14,5,2,2026-05-28,69.98
198,29,8,1,2026-01-15,189.99
199,41,4,2,2026-06-09,99.98
200,36,1,4,2026-02-17,159.96
201,15,2,4,2026-03-02,119.96
202,42,3,4,2026-05-30,319.96
203,33,5,4,2026-09-05,139.96
204,31,4,4,2026-03-16,199.96
205,25,4,2,2026-02-05,99.98
206,18,7,3,2026-09-17,179.97
207,18,1,3,2026-06-02,119.97
208,38,8,2,2026-08-17,379.98
209,35,8,3,2026-06-20,569.97
210,36,7,4,2026-06-14,239.96
211,13,4,4,2026-04-30,199.96
212,50,7,1,2026-06-12,59.99
213,48,8,4,2026-07-17,759.96
214,43,3,4,2026-01-19,319.96
215,9,6,1,2026-08-14,8.99
216,7,8,1,2026-03-15,189.99
217,27,3,1,2026-08-29,79.99
218,17,6,4,2026-02-11,35.96
219,22,7,3,2026-09-07,179.97
220,35,1,1,2026-05-01,39.99
221,41,5,2,2026-02-16,69.98
222,28,2,1,2026-08-16,29.99
223,11,5,1,2026-01-24,34.99
224,21,1,3,2026-07-03,119.97
225,24,7,2,2026-05-06,119.98
226,34,7,2,2026-03-29,119.98
227,12,2,4,2026-05-04,119.96
228,32,3,2,2026-08-25,159.98
229,41,5,4,2026-05-11,139.96
230,43,1,4,2026-05-28,159.96
231,44,3,1,2026-08-15,79.99
232,23,5,4,2026-05-09,139.96
233,30,5,2,2026-07-16,69.98
234,31,2,2,2026-07-15,59.98
235,37,6,3,2026-06-01,26.97
236,2,7,3,2026-01-05,179.97
237,37,1,4,2026-05-27,159.96
238,50,4,3,2026-04-23,149.97
239,41,4,3,2026-03-12,149.97
240,41,2,1,2026-06-08,29.99
241,29,1,3,2026-03-09,119.97
242,6,5,3,2026-08-01,104.97
243,12,4,2,2026-07-07,99.98
244,34,5,2,2026-05-12,69.98
245,31,5,3,2026-02-28,104.97
246,30,2,2,2026-04-26,59.98
247,44,7,3,2026-02-16,179.97
248,26,1,3,2026-03-05,119.97
249,30,6,3,2026-07-15,26.97
250,41,6,1,2026-04-30,8.99
251,31,1,3,2026-04-24,119.97
252,42,2,4,2026-06-04,119.96
253,42,7,1,2026-03-13,59.99
254,3,1,3,2026-09-10,119.97
255,8,2,2,2026-03-11,59.98
256,25,8,3,2026-08-03,569.97
257,38,3,4,2026-02-20,319.96
